Country Name,Country Code,Year,GDP_Per_Capita,Female_Usage_Pct,Male_Usage_Pct,Internet_Usage_Pct,Region,Cost_1GB_USD,Affordability_Pct
India,IND,2000,442.750218937263,,,0.527532,ASIA (EX. NEAR EAST),,
Ireland,IRL,2000,26334.5672050501,,,17.8505,WESTERN EUROPE,,
Iran,IRN,2000,1650.01385833785,,,0.93419,ASIA (EX. NEAR EAST),,
Iraq,IRQ,2000,1980.18916038782,,,,NEAR EAST,,
Iceland,ISL,2000,32503.578963236,,,44.4705,WESTERN EUROPE,,
Israel,ISR,2000,21706.5194056329,,,20.8738,NEAR EAST,,
Italy,ITA,2000,20190.0035636084,,,23.1109,WESTERN EUROPE,,
Jamaica,JAM,2000,3453.09252800226,,,3.11578,CARIBBEAN,,
Jordan,JOR,2000,1570.61002940477,,,2.62328,NEAR EAST,,
Japan,JPN,2000,39169.3595701504,,,29.9907,ASIA (EX. NEAR EAST),,
Kazakhstan,KAZ,2000,1180.0444563226,,,0.668594,CIS (FORMER USSR),,
Kenya,KEN,2000,414.626365130846,,,0.31806,SUB-SAHARAN AFRICA,,
Kyrgyzstan,KGZ,2000,279.621738464365,,,1.0414,CIS (FORMER USSR),,
Cambodia,KHM,2000,296.426687526334,,,0.0470226,ASIA (EX. NEAR EAST),,
Kiribati,KIR,2000,845.367240231973,,,1.78523,OCEANIA,,
St. Kitts and Nevis,KNA,2000,9319.65545093525,,,5.86281,,,
South Korea,KOR,2000,12710.2995795579,,,44.7,ASIA (EX. NEAR EAST),,
Kuwait,KWT,2000,19296.3471698729,,,6.7314,NEAR EAST,,
Latin America & Caribbean (excluding high income),LAC,2000,4290.89542947118,,,,,,
Laos,LAO,2000,318.749852236965,,,0.111044,,,
Lebanon,LBN,2000,3986.83513941026,,,7.95274,NEAR EAST,,
Liberia,LBR,2000,298.485340578945,,,0.0177027,SUB-SAHARAN AFRICA,,
Libya,LBY,2000,7214.10040377084,,,0.187043,NORTHERN AFRICA,,
St. Lucia,LCA,2000,5879.56191426207,,,5.09048,,,
Latin America & Caribbean,LCN,2000,4472.58404552831,,,,,,
Least developed countries: UN classification,LDC,2000,333.363886094901,,,,,,
Low income,LIC,2000,361.877753824032,,,,,,
Liechtenstein,LIE,2000,76087.911114202,,,36.5152,WESTERN EUROPE,,
Sri Lanka,LKA,2000,860.199884304769,,,0.64741,ASIA (EX. NEAR EAST),,
Lower middle income,LMC,2000,559.072816607957,,,,,,
Low & middle income,LMY,2000,1178.01096453065,,,,,,
Lesotho,LSO,2000,442.779545779081,,,0.211806,SUB-SAHARAN AFRICA,,
Late-demographic dividend,LTE,2000,1677.20655312269,,,,,,
Lithuania,LTU,2000,3300.63634928559,,,6.42707,BALTICS,,
Luxembourg,LUX,2000,48659.5988753233,,,22.8873,WESTERN EUROPE,,
Latvia,LVA,2000,3278.17896440803,,,6.31906,BALTICS,,
Macao,MAC,2000,15731.4081633771,,,13.6086,,,
Morocco,MAR,2000,1499.107421875,,,0.693791,NORTHERN AFRICA,,
Monaco,MCO,2000,81789.0206522549,,,42.1849,WESTERN EUROPE,,
Moldova,MDA,2000,440.538683980372,,,1.28285,EASTERN EUROPE,,
Madagascar,MDG,2000,280.282905559649,,,0.196395,SUB-SAHARAN AFRICA,,
Maldives,MDV,2000,2213.81235053178,,,2.20387,ASIA (EX. NEAR EAST),,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2000,2220.38439290516,,,,,,
Mexico,MEX,2000,7524.0271380091,,,5.08138,CENTRAL AMERICA,,
Marshall Islands,MHL,2000,2264.79114897645,,,1.53427,OCEANIA,,
Middle income,MIC,2000,1237.10225471924,,,,,,
North Macedonia,MKD,2000,1861.89899780644,,,2.48557,,,
Mali,MLI,2000,304.652870194271,,,0.142546,SUB-SAHARAN AFRICA,,
Malta,MLT,2000,10348.4858902403,,,13.1137,WESTERN EUROPE,,
Myanmar,MMR,2000,196.619580625284,,,,ASIA (EX. NEAR EAST),,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2000,1247.47238123443,,,,,,
Montenegro,MNE,2000,1627.06511911987,,,,EASTERN EUROPE,,
Mongolia,MNG,2000,476.02755082717,,,1.25565,ASIA (EX. NEAR EAST),,
Mozambique,MOZ,2000,327.12623979157,,,0.109593,SUB-SAHARAN AFRICA,,
Mauritania,MRT,2000,680.911061879778,,,0.192031,NORTHERN AFRICA,,
Mauritius,MUS,2000,3981.98343249582,,,7.28154,SUB-SAHARAN AFRICA,,
Malawi,MWI,2000,224.22415918428,,,0.126781,SUB-SAHARAN AFRICA,,
Malaysia,MYS,2000,4083.52874483605,,,21.3847,ASIA (EX. NEAR EAST),,
North America,NAC,2000,35151.3613936987,,,,,,
Namibia,NAM,2000,2156.67590512714,,,1.64474,SUB-SAHARAN AFRICA,,
New Caledonia,NCL,2000,15329.7297200058,,,13.9395,OCEANIA,,
Niger,NER,2000,194.771959898935,,,0.0362613,SUB-SAHARAN AFRICA,,
Nigeria,NGA,2000,547.318298903379,,,0.0640808,SUB-SAHARAN AFRICA,,
Nicaragua,NIC,2000,1017.3124434882,,,0.980216,CENTRAL AMERICA,,
Netherlands,NLD,2000,26225.1697734149,,,43.9844,,,
Norway,NOR,2000,38178.2368777076,,,52.0,WESTERN EUROPE,,
Nepal,NPL,2000,223.830289183078,,,0.204652,ASIA (EX. NEAR EAST),,
Nauru,NRU,2000,2648.60152860938,,,,OCEANIA,,
New Zealand,NZL,2000,13641.1027183822,,,47.3796,OCEANIA,,
OECD members,OED,2000,23049.6329362256,,,,,,
Oman,OMN,2000,9753.84755185404,,,3.52042,NEAR EAST,,
Other small states,OSS,2000,4847.45033301194,,,,,,
Pakistan,PAK,2000,642.338346499898,,,,ASIA (EX. NEAR EAST),,
Panama,PAN,2000,3975.09310275544,,,6.5548,CENTRAL AMERICA,,
Peru,PER,2000,1945.41338451698,,,3.07643,SOUTH AMERICA,,
Philippines,PHL,2000,1050.79273107952,,,1.98225,ASIA (EX. NEAR EAST),,
Palau,PLW,2000,7798.07504193852,,,,OCEANIA,,
Papua New Guinea,PNG,2000,635.957919047725,,,0.835249,OCEANIA,,
Poland,POL,2000,4520.64100449111,,,7.28543,EASTERN EUROPE,,
Pre-demographic dividend,PRE,2000,503.562641272677,,,,,,
Puerto Rico (US),PRI,2000,16192.1269719638,,,10.4746,,,
"Korea, Dem. People's Rep.",PRK,2000,,,,0.0,,,
Portugal,PRT,2000,11526.3720667968,,,16.4305,WESTERN EUROPE,,
